member_casual,month,num_rides,avg_length
casual,2023-08-01T00:00:00Z,311006,2115.435026976972
casual,2023-09-01T00:00:00Z,261534,1511.6252762547126
casual,2023-10-01T00:00:00Z,177007,1372.695667402984
casual,2023-11-01T00:00:00Z,98327,1194.3853875334344
casual,2023-12-01T00:00:00Z,51662,1196.4074755139175
casual,2024-01-01T00:00:00Z,24446,1279.0285936349505
casual,2024-02-01T00:00:00Z,47157,1511.5847700235383
casual,2024-03-01T00:00:00Z,82500,1498.2059636363635
casual,2024-04-01T00:00:00Z,131745,1561.15815400964
casual,2024-05-01T00:00:00Z,231047,1682.9800720243095
casual,2024-06-01T00:00:00Z,301169,1662.3346978337818
casual,2024-07-01T00:00:00Z,320372,1643.0599627621257
member,2023-08-01T00:00:00Z,460430,826.5547140716287
member,2023-09-01T00:00:00Z,404617,788.9219063954307
member,2023-10-01T00:00:00Z,359947,729.2163985253385
member,2023-11-01T00:00:00Z,264042,694.5511661023626
member,2023-12-01T00:00:00Z,172356,686.9440692520133
member,2024-01-01T00:00:00Z,120330,828.1041884816754
member,2024-02-01T00:00:00Z,175979,774.9254399672687
member,2024-03-01T00:00:00Z,219081,718.338308662093
member,2024-04-01T00:00:00Z,283092,742.0870035182909
member,2024-05-01T00:00:00Z,378396,811.0886380009318
member,2024-06-01T00:00:00Z,409578,833.2291910110927
member,2024-07-01T00:00:00Z,428353,820.6771672242631
